track,task_id,source_row,category,tolerance_multiplier,baseline_gpt_sol_skill_on,candidate_gpt_sol_skill_on,baseline_gpt_sol_skill_off,candidate_gpt_sol_skill_off,baseline_qwen_flash_skill_on,candidate_qwen_flash_skill_on,baseline_qwen_flash_skill_off,candidate_qwen_flash_skill_off,baseline_sd,candidate_sd,sd_gain
property_calculation_basic,property_calculation_basic_001_toluene_aqueous_solvation_free_energy,5,mixed,0.329,99.6,98.78419452887537,67.0,0.0,99.66666666666667,98.98682877406281,95.33333333333334,85.81560283687945,13.62359065086082,41.278576218118815,27.654985567257995
property_calculation_basic,property_calculation_basic_002_ethanol_aqueous_solvation_free_energy,6,numeric_ceiling,0.5,86.33333333333333,72.66666666666666,86.33333333333333,72.66666666666666,85.0,70.0,85.0,70.0,0.6666666666666654,1.3333333333333308,0.6666666666666654
property_calculation_basic,property_calculation_basic_003_diethyl_ether_aqueous_solvation_free_energy,7,mixed,0.42,88.33333333333334,72.22222222222223,57.999999999999986,0.0,96.33333333333334,91.26984126984128,27.0,0.0,27.367229998262115,41.42408599448768,14.056855996225565
property_calculation_basic,property_calculation_basic_004_anisole_aqueous_solvation_free_energy,8,mixed,0.427,99.44959999999999,98.71100702576112,57.33333333333335,0.07806401249025319,100.0,100.0,97.66666666666667,94.53551912568308,18.07956093223013,42.34089211295113,24.261331180721005
property_calculation_basic,property_calculation_basic_005_nitrobenzene_reduction_potential,9,mixed,0.948,84.99999999999999,84.1772151898734,86.66666666666664,85.93530239099859,76.66666666666669,75.38677918424756,83.33333333333331,82.41912798874822,3.7960139913101107,4.004234168048642,0.20822017673853138
property_calculation_basic,property_calculation_basic_006_tetracyanoethylene_reduction_potential,10,mixed,0.912,88.33333333333333,87.20760233918129,95.0,94.51754385964912,8.333333333333325,0.0,88.33333333333333,87.20760233918129,35.707142142714254,38.931645546091076,3.2245034033768216
property_calculation_basic,property_calculation_basic_007_dimethylaniline_oxidation_potential,11,mixed,0.267,96.66666666666669,87.51560549313365,81.66666666666667,31.33583021223472,73.33333333333333,0.12484394506865337,95.0,81.27340823970036,9.64653075232519,36.12932866039398,26.48279790806879
property_calculation_basic,property_calculation_basic_008_triphenylamine_oxidation_potential,12,numeric_ceiling,0.5,95.0,89.99999999999999,93.33333333333333,86.66666666666664,89.99999999999999,79.99999999999999,95.0,89.99999999999999,2.041241452319317,4.082482904638634,2.041241452319317
property_calculation_basic,property_calculation_basic_009_thianthrene_oxidation_potential,13,mixed,0.417,58.333333333333314,0.07993605115902414,70.0,28.057553956834504,91.66666666666666,80.0159872102318,70.0,28.057553956834504,12.047360245667473,28.890552147883625,16.843191902216155
property_calculation_basic,property_calculation_basic_010_water_dimer_binding_energy,14,numeric_ceiling,0.19,98.33333333333334,91.22807017543863,98.33333333333334,91.22807017543863,81.00000000000001,1.2212453270876722e-13,98.99999999999999,94.73684210526312,7.606649138162677,40.03499546401408,32.4283463258514
property_calculation_basic,property_calculation_basic_011_ammonia_dimer_binding_energy,15,mixed,0.363,63.737576103333325,0.10351543617997949,89.33333333333334,70.61524334251608,100.0,100.0,100.0,100.0,14.816850874628642,40.817771004486616,26.000920129857974
