track,task_id,property,profile_id,gold,unit,value_transform,category,tolerance_multiplier,old_lower_tolerance,old_upper_tolerance,new_lower_tolerance,new_upper_tolerance
property_calculation_basic,property_calculation_basic_001_toluene_aqueous_solvation_free_energy,aqueous_solvation_free_energy,property_calculation_basic_001_toluene_aqueous_solvation_free_energy_numeric_gold_v3,-0.82,kcal/mol,identity,mixed,0.329,3.0,3.0,0.9870000000000001,0.9870000000000001
property_calculation_basic,property_calculation_basic_002_ethanol_aqueous_solvation_free_energy,aqueous_solvation_free_energy,property_calculation_basic_002_ethanol_aqueous_solvation_free_energy_numeric_gold_v3,-5.42,kcal/mol,identity,numeric_ceiling,0.5,3.0,3.0,1.5,1.5
property_calculation_basic,property_calculation_basic_003_diethyl_ether_aqueous_solvation_free_energy,aqueous_solvation_free_energy,property_calculation_basic_003_diethyl_ether_aqueous_solvation_free_energy_numeric_gold_v3,-2.11,kcal/mol,identity,mixed,0.42,3.0,3.0,1.26,1.26
property_calculation_basic,property_calculation_basic_004_anisole_aqueous_solvation_free_energy,aqueous_solvation_free_energy,property_calculation_basic_004_anisole_aqueous_solvation_free_energy_numeric_gold_v3,-1.98,kcal/mol,identity,mixed,0.427,3.0,3.0,1.281,1.281
property_calculation_basic,property_calculation_basic_005_nitrobenzene_reduction_potential,first_reduction_potential_vs_sce,property_calculation_basic_005_nitrobenzene_reduction_potential_numeric_gold_v3,-1.24,V,identity,mixed,0.948,0.6,0.6,0.5688,0.5688
property_calculation_basic,property_calculation_basic_006_tetracyanoethylene_reduction_potential,first_reduction_potential_vs_sce,property_calculation_basic_006_tetracyanoethylene_reduction_potential_numeric_gold_v3,0.21,V,identity,mixed,0.912,0.6,0.6,0.5472,0.5472
property_calculation_basic,property_calculation_basic_007_dimethylaniline_oxidation_potential,first_oxidation_potential_vs_sce,property_calculation_basic_007_dimethylaniline_oxidation_potential_numeric_gold_v3,0.83,V,identity,mixed,0.267,0.6,0.6,0.1602,0.1602
property_calculation_basic,property_calculation_basic_008_triphenylamine_oxidation_potential,first_oxidation_potential_vs_sce,property_calculation_basic_008_triphenylamine_oxidation_potential_numeric_gold_v3,0.82,V,identity,numeric_ceiling,0.5,0.6,0.6,0.3,0.3
property_calculation_basic,property_calculation_basic_009_thianthrene_oxidation_potential,first_oxidation_potential_vs_sce,property_calculation_basic_009_thianthrene_oxidation_potential_numeric_gold_v3,1.11,V,identity,mixed,0.417,0.6,0.6,0.2502,0.2502
property_calculation_basic,property_calculation_basic_010_water_dimer_binding_energy,binding_energy,property_calculation_basic_010_water_dimer_binding_energy_numeric_gold_v3,-4.97,kcal/mol,identity,numeric_ceiling,0.19,3.0,3.0,0.5700000000000001,0.5700000000000001
property_calculation_basic,property_calculation_basic_011_ammonia_dimer_binding_energy,binding_energy,property_calculation_basic_011_ammonia_dimer_binding_energy_numeric_gold_v3,-2.85,kcal/mol,identity,mixed,0.363,3.0,3.0,1.089,1.089
property_calculation_basic,property_calculation_basic_012_benzene_t_dimer_binding_energy,binding_energy,property_calculation_basic_012_benzene_t_dimer_binding_energy_numeric_gold_v3,-2.48,kcal/mol,identity,numeric_ceiling,0.5,3.0,3.0,1.5,1.5
property_calculation_basic,property_calculation_basic_013_adenine_thymine_wc_pair_binding_energy,binding_energy,property_calculation_basic_013_adenine_thymine_wc_pair_binding_energy_numeric_gold_v3,-16.13,kcal/mol,identity,numeric_ceiling,0.113,3.0,3.0,0.339,0.339
property_calculation_basic,property_calculation_basic_014_water_methanol_complex_binding_energy,binding_energy,property_calculation_basic_014_water_methanol_complex_binding_energy_numeric_gold_v3,-4.89,kcal/mol,identity,numeric_ceiling,0.5,3.0,3.0,1.5,1.5
property_calculation_basic,property_calculation_basic_015_ethene_ethyne_t_complex_binding_energy,binding_energy,property_calculation_basic_015_ethene_ethyne_t_complex_binding_energy_numeric_gold_v3,-1.33,kcal/mol,identity,mixed,0.703,3.0,3.0,2.109,2.109
property_calculation_basic,property_calculation_basic_016_thiophene_polarizability,static_mean_polarizability,property_calculation_basic_016_thiophene_polarizability_numeric_gold_v3,65.01,a.u.,identity,numeric_ceiling,0.5,16.2525,16.2525,8.12625,8.12625
property_calculation_basic,property_calculation_basic_017_benzene_polarizability,static_mean_polarizability,property_calculation_basic_017_benzene_polarizability_numeric_gold_v3,67.87,a.u.,identity,mixed,0.525,16.9675,16.9675,8.907937500000001,8.907937500000001
property_calculation_basic,property_calculation_basic_018_octatetraene_polarizability,static_mean_polarizability,property_calculation_basic_018_octatetraene_polarizability_numeric_gold_v3,95.51,a.u.,identity,mixed,0.259,23.8775,23.8775,6.1842725000000005,6.1842725000000005
property_calculation_basic,property_calculation_basic_019_dimethyl_sulfoxide_water_dipole_moment,dipole_moment,property_calculation_basic_019_dimethyl_sulfoxide_water_dipole_moment_numeric_gold_v3,5.43,Debye,identity,numeric_ceiling,0.5,1.9004999999999999,1.9004999999999999,0.9502499999999999,0.9502499999999999
property_calculation_basic,property_calculation_basic_020_cis_dichloroethene_dipole_moment,dipole_moment,property_calculation_basic_020_cis_dichloroethene_dipole_moment_numeric_gold_v3,1.88,Debye,identity,numeric_ceiling,0.5,0.6579999999999999,0.6579999999999999,0.32899999999999996,0.32899999999999996
property_calculation_basic,property_calculation_basic_021_acetonitrile_dipole_moment,dipole_moment,property_calculation_basic_021_acetonitrile_dipole_moment_numeric_gold_v3,3.85,Debye,identity,numeric_ceiling,0.5,1.3475,1.3475,0.67375,0.67375
property_calculation_basic,property_calculation_basic_022_naphthalene_bridge_bond_order,wiberg_bond_order,property_calculation_basic_022_naphthalene_bridge_bond_order_numeric_gold_v3,1.2522,dimensionless,identity,numeric_ceiling,0.5,0.25044,0.25044,0.12522,0.12522
property_calculation_basic,property_calculation_basic_023_dimethyl_sulfone_so_bond_order,wiberg_bond_order,property_calculation_basic_023_dimethyl_sulfone_so_bond_order_numeric_gold_v3,1.6615,dimensionless,identity,numeric_ceiling,0.5,0.33230000000000004,0.33230000000000004,0.16615000000000002,0.16615000000000002
property_calculation_basic,property_calculation_basic_024_methyl_nitrate_no_bond_order,wiberg_bond_order,property_calculation_basic_024_methyl_nitrate_no_bond_order_numeric_gold_v3,0.9292,dimensionless,identity,numeric_ceiling,0.199,0.18584,0.18584,0.03698216,0.03698216
property_calculation_basic,property_calculation_basic_025_phenol_surface_esp_minimum,surface_electrostatic_potential_minimum,property_calculation_basic_025_phenol_surface_esp_minimum_numeric_gold_v3,-25.95,kcal/mol,identity,mixed,0.651,10.38,10.38,6.75738,6.75738
property_calculation_basic,property_calculation_basic_026_nitrobenzene_vdw_surface_area,van_der_waals_surface_area,property_calculation_basic_026_nitrobenzene_vdw_surface_area_numeric_gold_v3,150.3,angstrom^2,identity,mixed,0.423,30.060000000000002,30.060000000000002,12.715380000000001,12.715380000000001
property_calculation_basic,property_calculation_basic_027_pyrrole_surface_esp_variance,surface_electrostatic_potential_total_variance,property_calculation_basic_027_pyrrole_surface_esp_variance_numeric_gold_v3,178.25,(kcal/mol)^2,identity,mixed,0.851,62.387499999999996,62.387499999999996,53.091762499999994,53.091762499999994
property_calculation_basic,property_calculation_basic_028_urea_crystal_density,crystal_density,property_calculation_basic_028_urea_crystal_density_numeric_gold_v3,1.333,g/cm^3,identity,numeric_ceiling,0.5,0.2666,0.2666,0.1333,0.1333
property_calculation_basic,property_calculation_basic_029_tnt_crystal_density,crystal_density,property_calculation_basic_029_tnt_crystal_density_numeric_gold_v3,1.71,g/cm^3,identity,numeric_ceiling,0.5,0.342,0.342,0.171,0.171
property_calculation_basic,property_calculation_basic_030_picric_acid_crystal_density,crystal_density,property_calculation_basic_030_picric_acid_crystal_density_numeric_gold_v3,1.831,g/cm^3,identity,numeric_ceiling,0.5,0.3662,0.3662,0.1831,0.1831
property_calculation_basic,property_calculation_basic_031_allyl_radical_c1_spin_density,spin_density,property_calculation_basic_031_allyl_radical_c1_spin_density_numeric_gold_v3,-0.266,dimensionless,identity,numeric_ceiling,0.5,0.21280000000000002,0.21280000000000002,0.10640000000000001,0.10640000000000001
property_calculation_basic,property_calculation_basic_032_benzyl_radical_para_c_spin_density,spin_density,property_calculation_basic_032_benzyl_radical_para_c_spin_density_numeric_gold_v3,0.301,dimensionless,identity,mixed,0.319,0.24080000000000001,0.24080000000000001,0.0768152,0.0768152
property_calculation_basic,property_calculation_basic_033_phenoxy_radical_o_spin_density,spin_density,property_calculation_basic_033_phenoxy_radical_o_spin_density_numeric_gold_v3,0.415,dimensionless,identity,mixed,0.807,0.332,0.332,0.26792400000000005,0.26792400000000005
