track,task_id,baseline_gpt_sol_skill_on,baseline_gpt_sol_skill_off,baseline_qwen_flash_skill_on,baseline_qwen_flash_skill_off,candidate_gpt_sol_skill_on,candidate_gpt_sol_skill_off,candidate_qwen_flash_skill_on,candidate_qwen_flash_skill_off,change_gpt_sol_skill_on,change_gpt_sol_skill_off,change_qwen_flash_skill_on,change_qwen_flash_skill_off
property_calculation_basic,property_calculation_basic_001_toluene_aqueous_solvation_free_energy,99.6,67.0,99.66666666666667,95.33333333333334,99.6,67.0,99.66666666666667,95.33333333333334,0.0,0.0,0.0,0.0
property_calculation_basic,property_calculation_basic_002_ethanol_aqueous_solvation_free_energy,86.33333333333333,86.33333333333333,85.0,85.0,86.33333333333333,86.33333333333333,85.0,85.0,0.0,0.0,0.0,0.0
property_calculation_basic,property_calculation_basic_003_diethyl_ether_aqueous_solvation_free_energy,88.33333333333334,57.999999999999986,96.33333333333334,27.0,88.33333333333334,57.999999999999986,96.33333333333334,27.0,0.0,0.0,0.0,0.0
property_calculation_basic,property_calculation_basic_004_anisole_aqueous_solvation_free_energy,99.44959999999999,57.33333333333335,100.0,97.66666666666667,99.44959999999999,57.33333333333335,100.0,97.66666666666667,0.0,0.0,0.0,0.0
property_calculation_basic,property_calculation_basic_005_nitrobenzene_reduction_potential,81.99999999999999,83.99999999999999,72.00000000000001,79.99999999999999,81.99999999999999,83.99999999999999,72.00000000000001,79.99999999999999,0.0,0.0,0.0,0.0
property_calculation_basic,property_calculation_basic_006_tetracyanoethylene_reduction_potential,86.00000000000001,94.0,0.0,86.00000000000001,86.00000000000001,94.0,0.0,86.00000000000001,0.0,0.0,0.0,0.0
property_calculation_basic,property_calculation_basic_007_dimethylaniline_oxidation_potential,96.00000000000001,78.0,68.0,94.0,96.00000000000001,78.0,68.0,94.0,0.0,0.0,0.0,0.0
property_calculation_basic,property_calculation_basic_008_triphenylamine_oxidation_potential,94.0,92.0,87.99999999999999,94.0,94.0,92.0,87.99999999999999,94.0,0.0,0.0,0.0,0.0
property_calculation_basic,property_calculation_basic_009_thianthrene_oxidation_potential,49.99999999999998,63.99999999999999,89.99999999999999,63.99999999999999,49.99999999999998,63.99999999999999,89.99999999999999,63.99999999999999,0.0,0.0,0.0,0.0
property_calculation_basic,property_calculation_basic_010_water_dimer_binding_energy,95.00000000000001,95.00000000000001,43.00000000000006,96.99999999999997,97.50000000000001,97.50000000000001,71.50000000000003,98.49999999999999,2.499999999999991,2.499999999999991,28.49999999999997,1.5000000000000124
